LE_MET_level6 mapped_stk_code
0 51
0 52
0 54
0 53
0 0
0 65
0 63
0 62
1 51
1 52
1 54
1 53
1 0
1 65
1 63
1 62
2 51
2 42
2 41
2 54
2 31
2 32
2 43
2 33
2 61
2 63
2 62
3 51
3 42
3 41
3 54
3 31
3 32
3 43
3 33
3 61
3 63
3 62
4 51
4 42
4 41
4 54
4 31
4 32
4 43
4 33
4 61
4 63
4 62
5 51
5 42
5 41
5 54
5 31
5 32
5 43
5 33
5 61
5 63
5 62
6 51
6 42
6 41
6 54
6 31
6 32
6 43
6 33
6 61
6 63
6 62
7 51
7 52
7 54
7 53
7 0
7 65
7 63
7 62
8 51
8 42
8 41
8 54
8 31
8 32
8 43
8 33
8 61
8 63
8 62
9 51
9 42
9 41
9 54
9 31
9 32
9 43
9 33
9 61
9 63
9 62
10 51
10 42
10 41
10 54
10 31
10 32
10 43
10 33
10 61
10 63
10 62
11 51
11 42
11 41
11 54
11 31
11 32
11 43
11 33
11 61
11 63
11 62
12 51
12 42
12 41
12 54
12 31
12 32
12 43
12 33
12 61
12 63
12 62
13 51
13 52
13 54
13 53
13 0
13 65
13 63
13 62
14 51
14 42
14 52
14 41
14 54
14 53
14 31
14 0
14 32
14 43
14 33
14 65
14 61
14 63
14 62
15 51
15 52
15 54
15 53
15 0
15 65
15 63
15 62
16 51
16 42
16 52
16 41
16 54
16 53
16 31
16 0
16 32
16 43
16 33
16 65
16 61
16 63
16 62
17 51
17 42
17 52
17 41
17 54
17 53
17 31
17 0
17 32
17 43
17 33
17 65
17 61
17 63
17 62
18 51
18 42
18 52
18 41
18 54
18 53
18 31
18 0
18 32
18 43
18 33
18 65
18 61
18 63
18 62
19 51
19 42
19 41
19 54
19 31
19 32
19 43
19 33
19 61
19 63
19 62
20 51
20 42
20 52
20 41
20 54
20 53
20 31
20 0
20 32
20 43
20 33
20 65
20 61
20 63
20 62
21 51
21 42
21 52
21 41
21 54
21 53
21 31
21 0
21 32
21 43
21 33
21 65
21 61
21 63
21 62
22 51
22 42
22 52
22 41
22 54
22 53
22 31
22 0
22 32
22 43
22 33
22 65
22 61
22 63
22 62
23 51
23 52
23 54
23 53
23 0
23 65
23 63
23 62
